ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Ghanpur (Station),99,SC,Warangal,Kadiyam Srihari,Bharat Rashtra Samithi,498648,214602,43.00%,7779,3.60%,Late Laxmi Narsaiah,male,73,TG2023AC99
Palakurthi,100,GEN,Warangal,Yashaswini Mamidala,Indian National Congress,503246,217413,43.20%,47634,21.90%,H. RAJARAM MOHAN REDDY,female,26,TG2023AC100
Dornakal,101,ST,Warangal,Jatoth Ram Chander Naik,Indian National Congress,438841,191231,43.60%,53131,27.80%,JATOTH RAMULU,male,48,TG2023AC101
Mahabubabad,102,ST,Warangal,Dr. Murali Naik Bhukya,Indian National Congress,506988,208396,41.10%,50171,24.10%,MANGYA NAIK BHUKYA,male,57,TG2023AC102
Narsampet,103,GEN,Warangal,Donthi Madhava Reddy,Indian National Congress,465032,204648,44.00%,18889,9.20%,Late Narsimha Reddy,male,62,TG2023AC103
Parkal,104,GEN,Warangal,Revuri Prakash Reddy,Indian National Congress,443179,187715,42.40%,7941,4.20%,LATE REVURI NARAYANA REDDY,male,71,TG2023AC104
Warangal West,105,GEN,Warangal,Naini Rajender Reddy,Indian National Congress,573579,164599,28.70%,15331,9.30%,NAINI NARENDER REDDY,male,54,TG2023AC105
Warangal East,106,GEN,Warangal,Konda Surekha,Indian National Congress,508801,169709,33.40%,15652,9.20%,KONDA MURALIDHAR RAO,female,58,TG2023AC106
Waradhanapet,107,SC,Warangal,K.R.Nagaraj.K,Indian National Congress,538711,215164,39.90%,19458,9.00%,KARPAN.K,male,60,TG2023AC107
Bhupalpalle,108,GEN,Warangal,Gandra Satyanarayana Rao,Indian National Congress,547602,224858,41.10%,52699,23.40%,GANDRA SAMMA RAO,male,58,TG2023AC108
Mulug,109,ST,Warangal,Danasari Anasuya Seethakka,Indian National Congress,453113,185646,41.00%,33700,18.20%,Sammaiah,female,52,TG2023AC109
Pinapaka,110,ST,Khammam,Payam Venkateswarlu,Indian National Congress,397205,158978,40.00%,34506,21.70%,KAMARAJU(Late),male,49,TG2023AC110
Yellandu,111,ST,Khammam,Koram Kanakaiah,Indian National Congress,439674,176921,40.20%,57309,32.40%,PULLAIAH,male,61,TG2023AC111
Khammam,112,GEN,Khammam,Tummala Nageswara Rao,Indian National Congress,646123,234299,36.30%,49381,21.10%,LAXMAIAH,male,71,TG2023AC112
Palair,113,GEN,Khammam,Ponguleti Srinivasa Reddy,Indian National Congress,472898,216331,45.70%,56650,26.20%,RAGHAVA REDDY LATE,male,58,TG2023AC113
Madhira,114,SC,Khammam,Bhatti Vikramarka Mallu,Indian National Congress,442964,194911,44.00%,35452,18.20%,AKHILANDA MALLU,male,63,TG2023AC114
Wyra,115,ST,Khammam,Ramdas Maloth,Indian National Congress,386526,168177,43.50%,33045,19.60%,HANUMA MALOTH,male,59,TG2023AC115
Sathupalle,116,SC,Khammam,Matta Ragamayee,Indian National Congress,486447,214714,44.10%,19440,9.10%,MATTA DAYANAND,female,52,TG2023AC116
Kothagudem,117,GEN,Khammam,Kunamneni Sambasiva Rao,Communist Party Of India,487985,186493,38.20%,26547,14.20%,Venkatarathaiah,male,67,TG2023AC117
Aswaraopeta,118,ST,Khammam,Adinarayana. Jare,Indian National Congress,312016,134861,43.20%,28905,21.40%,SATHYANARAYANA,male,40,TG2023AC118
Bhadrachalam,119,ST,Khammam,Dr. Tellam Venkata Rao,Bharat Rashtra Samithi,297420,116457,39.20%,5719,4.90%,Bapanaiah (late),male,55,TG2023AC119
