PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1504276,741965,49.3 %,115864,15.6%,AC View
Kanniyakumari,39,GEN,Tamil Nadu,Helen Davidson J,Dravida Munetra Kazhagam,1178047,766034,65.0 %,65687,8.6%,AC View
Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1069725,867040,81.1 %,43151,5.0%,AC View
Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Sri Prakash Jaiswal,Indian National Congress,1390055,512917,36.9 %,18906,3.7%,AC View
Kanthi,31,GEN,West Bengal,Adhikari Sisir Kumar,All India Trinamool Congress,1249775,1124817,90.0 %,129103,11.5%,AC View
Karakat,35,GEN,Bihar [2000 Onwards],Mahabali Singh,Janata Dal (United),1386634,577454,41.6 %,20483,3.5%,AC View
Karauli-Dholpur,10,SC,Rajasthan,Khiladi Lal Bairwa,Indian National Congress,1303196,487218,37.4 %,29723,6.1%,AC View
Karimganj,1,SC,Assam,Lalit Mohan Suklabaidya,Indian National Congress,1068811,685740,64.2 %,7920,1.2%,AC View
Karimnagar,3,GEN,Andhra Pradesh,Ponnam Prabhakar,Indian National Congress,1496211,991417,66.3 %,50243,5.1%,AC View
Karnal,5,GEN,Haryana,Arvind Kumar Sharma,Indian National Congress,1216977,811067,66.7 %,76346,9.4%,AC View
Karur,23,GEN,Tamil Nadu,Thambidurai.M,All India Anna Dravida Munnetra Kazhagam,1012924,825860,81.5 %,47254,5.7%,AC View
Kasaragod,1,GEN,Kerala,P Karunakaran,Communist Party Of India (MARXIST),1113892,848205,76.2 %,64427,7.6%,AC View
Katihar,11,GEN,Bihar [2000 Onwards],Nikhil Kumar Choudhary,Bharatiya Janta Party,1272769,724942,57.0 %,14015,1.9%,AC View
Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,1391312,551342,39.6 %,55789,10.1%,AC View
Kendrapara,15,GEN,Orissa,Baijayant Panda,Biju Janata Dal,1434425,982950,68.5 %,127107,12.9%,AC View
Keonjhar,4,ST,Orissa,Yashbant Narayan Singh Laguri,Biju Janata Dal,1265225,892274,70.5 %,126484,14.2%,AC View
Khadoor Sahib,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,1340145,946690,70.6 %,32260,3.4%,AC View
Khagaria,25,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),1342970,624966,46.5 %,138755,22.2%,AC View
Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Jeetendra Singh Bundela,Bharatiya Janta Party,1349511,583085,43.2 %,28332,4.9%,AC View
Khammam,17,GEN,Andhra Pradesh,Nama Nageswara Rao,Telugu Desam,1259815,1038421,82.4 %,124448,12.0%,AC View
Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Arun Subhashchandra Yadav,Indian National Congress,1355325,813214,60.0 %,49081,6.0%,AC View
Khargone,27,ST,Madhya Pradesh [2000 Onwards],Makansingh Solanki (Babuji),Bharatiya Janta Party,1263778,760779,60.2 %,34175,4.5%,AC View
Kheda,17,GEN,Gujarat,Dinsha Patel,Indian National Congress,1448571,602867,41.6 %,846,0.1%,AC View
Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Zafar Ali Naqvi,Indian National Congress,1297088,707983,54.6 %,8777,1.2%,AC View
