[LINE 329] UID=TN1952PC131 | family_rows=1 | sources_rows=3
[LINE 330] UID=TN1952PC128 | family_rows=1 | sources_rows=4
[LINE 331] UID=MH1952PC72 | family_rows=1 | sources_rows=3
[LINE 332] UID=PB1952PC201 | family_rows=1 | sources_rows=4
[LINE 333] UID=TN1952PC130 | family_rows=2 | sources_rows=4
[LINE 334] UID=DL1952PC387 | family_rows=1 | sources_rows=5
[LINE 335] UID=MP1952PC103 | family_rows=1 | sources_rows=4
[LINE 336] UID=MP1952PC324 | family_rows=1 | sources_rows=4
[LINE 337] UID=TG1952PC318 | family_rows=1 | sources_rows=1
[LINE 338] UID=WB1952PC277 | family_rows=1 | sources_rows=3
[LINE 339] UID=WB1952PC277 | family_rows=1 | sources_rows=4
[LINE 340] UID=WB1952PC277 | family_rows=1 | sources_rows=2
[LINE 341] UID=MH1952PC75 | family_rows=1 | sources_rows=4
[LINE 342] Existing error preserved | UID=AS1952PC07
[LINE 343] Existing error preserved | UID=OR1952PC177
[LINE 344] UID=TN1952PC129 | family_rows=1 | sources_rows=4
[LINE 345] UID=TN1952PC129 | family_rows=1 | sources_rows=3
[LINE 346] UID=TG1952PC311 | family_rows=1 | sources_rows=5
[LINE 347] UID=DL1952PC388 | family_rows=1 | sources_rows=4
[LINE 348] UID=DL1952PC388 | family_rows=1 | sources_rows=3
[LINE 349] UID=MN1952PC395 | family_rows=1 | sources_rows=2
[LINE 350] UID=BR1952PC51 | family_rows=1 | sources_rows=3
[LINE 351] UID=BR1952PC51 | family_rows=1 | sources_rows=2
[LINE 352] UID=MH1952PC57 | family_rows=1 | sources_rows=4
[LINE 353] UID=MH1952PC57 | family_rows=1 | sources_rows=3
[LINE 354] UID=TG1952PC315 | family_rows=1 | sources_rows=5
[LINE 355] UID=TN1952PC117 | family_rows=1 | sources_rows=2
[LINE 356] UID=BR1952PC11 | family_rows=1 | sources_rows=2
[LINE 357] UID=TN1952PC115 | family_rows=2 | sources_rows=3
[LINE 358] UID=PB1952PC344 | family_rows=1 | sources_rows=3
