ac no,ac name,type,district,winning candidate,party,total electors,total votes,poll %,margin,margin %,father/husband name,gender,age,UID
94,Salipur,,Cuttack district,Prasanta Behera,Biju Janata Dal,,87701,45.75,,,DHARMANANDA BEHERA,male,46.0,OR2024AC94
95,Mahanga,,Cuttack district,Sarada Prasad Padhan,Ind,,88632,42.86,,,,,,OR2024AC95
96,Patkura,,Kendrapara district,Arabinda Mohapatra,Biju Janata Dal,,90905,49.64,,,,,,OR2024AC96
97,Kendrapara,SC,Kendrapara district,Ganeswar Behera,Biju Janata Dal,,90173,58.49,,,Late Gobinda Chandra Behera,male,64.0,OR2024AC97
98,Aul,,Kendrapara district,Pratap Keshari Deb,Biju Janata Dal,,73678,42.37,,,Sarat Kumar Deb,male,53.0,OR2024AC98
99,Rajanagar,,Kendrapara district,Dhruba Charan Sahoo,Biju Janata Dal,,81237,46.46,,,DHANESWAR SAHOO,male,56.0,OR2024AC99
100,Mahakalapada,,Kendrapara district,Durga Prasan Nayak,	Bharatiya Janata Party,,109653,57.23,,,Dadhiram Nayak,male,46.0,OR2024AC100
101,Paradeep,,Jagatsinghpur district,Sampad Chandra Swain,	Bharatiya Janata Party,,84518,51.55,,,NIRMAL KUMAR SWAIN,male,38.0,OR2024AC101
102,Tirtol,SC,Jagatsinghpur district,Ramakanta Bhoi,Biju Janata Dal,,83740,45.48,,,Karttik Chandra Bhoi,male,46.0,OR2024AC102
103,Balikuda-Erasama,,Jagatsinghpur district,Sarada Prasanna Jena,Biju Janata Dal,,93517,46.04,,,SHANKAR JENA,male,53.0,OR2024AC103
104,Jagatsinghpur,,Jagatsinghpur district,Amarendra Das,	Bharatiya Janata Party,,92555,54.34,,,Rabindranath Das,male,48.0,OR2024AC104
105,Kakatapur,SC,Puri district,Tusharkanti Behera,Biju Janata Dal,,84010,47.05,,,SURESH CHANDRA BEHERA,male,40.0,OR2024AC105
106,Nimapara,,Puri district,Pravati Parida,	Bharatiya Janata Party,,95430,48.45,,,W/o- SHYAM SUNDAR NAYAK,female,57.0,OR2024AC106
107,Puri,,Puri district,Sunil Mohanty,Biju Janata Dal,,74709,45.84,,,,,,OR2024AC107
108,Bramhagiri,,Puri district,Upasna Mohapatra,	Bharatiya Janata Party,,95783,51.53,,,LATE LALATENDU BIDYADHAR MOHAPATRA,female,26.0,OR2024AC108
109,Satyabadi,,Puri district,Om Prakash Mishra,	Bharatiya Janata Party,,87294,53.33,,,Late Rajanikanta Mishra,male,44.0,OR2024AC109
110,Pipili,,Puri district,Asrit Pattanayak,	Bharatiya Janata Party,,99310,51.55,,,,,,OR2024AC110
111,Jayadev,SC,Khurda District,Naba Kishor Mallick,Biju Janata Dal,,76790,52.02,,,Bansidhar Mallick,male,43.0,OR2024AC111
112,Bhubaneswar Central,,Khurda District,Ananta Narayana Jena,Biju Janata Dal,,53759,47.68,,,,,,OR2024AC112
113,Bhubaneswar North,,Khurda District,Susanta Kumara Rout,Biju Janata Dal,,78179,50.63,,,,,,OR2024AC113
114,Ekamra Bhubaneswar,,Khurda District,Babu Singh,	Bharatiya Janata Party,,74884,49.03,,,GANGADHAR PRADHAN,male,52.0,OR2024AC114
115,Jatani,,Khurda District,Bibhuti Bhusan Balabantaray,Biju Janata Dal,,68162,39.06,,,DIBYA SINGH BALABANTARAY,male,62.0,OR2024AC115
116,Begunia,,Khurda District,Pradip Kumar Sahu,Biju Janata Dal,,90964,57.45,,,LAXMIDHAR SAHU,male,55.0,OR2024AC116
117,Khorda,,Khurda District,Prasanta Kumar Jagaddeba,	Bharatiya Janata Party,,80564,44.3,,,,,,OR2024AC117
