#,AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
18,Rajkot-Ii,18,GEN,Vajubhai Vala,Bharatiya Janta Party,166385,82297,49.5 %,8515,10.3%
19,Rajkot Rural,19,SC,Parmar Siddharth Mayaram,Bharatiya Janta Party,310875,157315,50.6 %,7276,4.6%
20,Gondal,20,GEN,Jayrajsinh Temubha Jadeja,Bharatiya Janta Party,152050,92462,60.8 %,14594,15.8%
21,Jetpur,21,GEN,Korat Jashuben Savajibhai,Bharatiya Janta Party,171483,103646,60.4 %,16230,15.7%
22,Dhoraji,22,GEN,Radadiya Vithalbhai Hansrajbhai,Indian National Congress,141433,94187,66.6 %,9866,10.5%
23,Upleta,23,GEN,Pravinbhai Mohanbhai Makadia,Bharatiya Janta Party,133498,81193,60.8 %,9968,12.3%
24,Jodiya,24,GEN,Bhojani Parsotambhai Nanjibhai,Bharatiya Janta Party,135073,93748,69.4 %,2425,2.6%
25,Jamnagar,25,GEN,Trivedi Vasuben Narendra,Bharatiya Janta Party,127137,63377,49.8 %,4965,7.8%
26,Jamnagar Rural,26,SC,Dr. Dinesh Parmar,Indian National Congress,249428,110864,44.4 %,2440,2.2%
27,Kalawad,27,GEN,Faldu Ranchhodbhai Chanabhai (R.C. Faldu),Bharatiya Janta Party,144096,93223,64.7 %,2551,2.7%
28,Jamjodhpur,28,GEN,Chimanlal Dharamsinhbhai Saparia,Bharatiya Janta Party,126708,89690,70.8 %,2622,2.9%
29,Bhanvad,29,GEN,Madam Vikrambhai Arjanbhai,Indian National Congress,117925,82215,69.7 %,1861,2.3%
30,Khambhalia,30,GEN,Chavada Karubhai Naran,Bharatiya Janta Party,138696,78097,56.3 %,1873,2.4%
31,Dwarka,31,GEN,Manek Pabubha Virambha,Indian National Congress,148726,91301,61.4 %,5650,6.2%
32,Porbandar,32,GEN,Arjunbhai Devabhai Modhavadiya,Indian National Congress,162027,95450,58.9 %,4400,4.6%
33,Kutiyana,33,GEN,Odedara Karshanbhai Dulabhai,Bharatiya Janta Party,144523,82216,56.9 %,10245,12.5%
34,Mangrol,34,GEN,Dr. Chudasama Chandrikaben Kanjibhai,Indian National Congress,159521,108217,67.8 %,1482,1.4%
35,Manavadar,35,GEN,Sureja Rateebhai Gordhanbhai,Bharatiya Janta Party,123508,82038,66.4 %,10382,12.7%
36,Keshod,36,SC,Boricha Madhabhai Lakhabhai,Bharatiya Janta Party,152359,94349,61.9 %,17627,18.7%
37,Talala,37,GEN,Paramar Govindbhai Varjangbhai,Bharatiya Janta Party,163949,122336,74.6 %,626,0.5%
38,Somnath,38,GEN,Barad Jesabhai Bhanabhai,Indian National Congress,186938,123044,65.8 %,7362,6.0%
39,Una,39,GEN,Vansh Punjabhai Bhimabhai,Indian National Congress,190928,123987,64.9 %,2476,2.0%
40,Visavadar,40,GEN,Bhalala Kanubhai Mepabhai,Bharatiya Janta Party,148725,91694,61.7 %,18819,20.5%
41,Maliya,41,GEN,Joshi Bhikhabhai Galabhai,Indian National Congress,161886,103955,64.2 %,10691,10.3%
42,Junagadh,42,GEN,Mashroo Mahendra Liladhar,Bharatiya Janta Party,210736,104538,49.6 %,21288,20.4%
43,Babra,43,GEN,Undhad Bavkubhai Nathabhai,Bharatiya Janta Party,144077,98839,68.6 %,1931,2.0%
44,Lathi,44,GEN,Bhecharbhai Bhadani,Bharatiya Janta Party,120159,73478,61.2 %,6815,9.3%
45,Amreli,45,GEN,Dhanani Pareshbhai Dhirajlal,Indian National Congress,150498,91829,61.0 %,16314,17.8%
46,Dhari,46,GEN,Balubhai Jivrajbhai Tanti,Bharatiya Janta Party,141457,82375,58.2 %,1774,2.2%
47,Kodinar,47,GEN,Solanki Dinubhai Boghabhai,Bharatiya Janta Party,153672,102840,66.9 %,2060,2.0%
48,Rajula,48,GEN,Solanki Hirabhai Odhavjibhai,Bharatiya Janta Party,162927,96617,59.3 %,37062,38.4%
49,Botad,49,GEN,Saurabh Patel,Bharatiya Janta Party,185540,124120,66.9 %,33430,26.9%
