AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Sirsaganj,99,GEN,Firozabad,Hariom Yadav,Samajwadi Party,305941,201523,65.9 %,10676,5.3%
Kasganj,100,GEN,Etah,Devendra Singh Rajput,Bharatiya Janta Party,345705,218097,63.1 %,52030,23.9%
Amanpur,101,GEN,Etah,Devendra Pratap,Bharatiya Janta Party,292797,182536,62.3 %,41804,22.9%
Patiyali,102,GEN,Etah,Mamtesh,Bharatiya Janta Party,328096,201267,61.3 %,3771,1.9%
Aliganj,103,GEN,Etah,Satyapal Singh Rathaur,Bharatiya Janta Party,333936,215022,64.4 %,13851,6.4%
Etah,104,GEN,Etah,Vipin Kumar David,Bharatiya Janta Party,317242,200372,63.2 %,21129,10.5%
Marhara,105,GEN,Etah,Virendra,Bharatiya Janta Party,296194,189988,64.1 %,33432,17.6%
Jalesar,106,SC,Etah,Sanjeev Kumar Diwakar,Bharatiya Janta Party,280425,183452,65.4 %,19808,10.8%
Mainpuri,107,GEN,Mainpuri,Rajkumar Alias Raju Yadav,Samajwadi Party,326527,195656,59.9 %,8831,4.5%
Bhongaon,108,GEN,Mainpuri,Ram Naresh Agnihotri,Bharatiya Janta Party,331035,194504,58.8 %,20297,10.4%
Kishani (SC),109,SC,Mainpuri,Brajesh Kumar,Samajwadi Party,298555,178445,59.8 %,16529,9.3%
Karhal,110,GEN,Mainpuri,Sobaran Singh Yadav,Samajwadi Party,355384,209254,58.9 %,38405,18.4%
Gunnaur,111,GEN,Budaun,Ajeet Kumar Urf Raju Yadav,Bharatiya Janta Party,372493,225092,60.4 %,11386,5.1%
Bisauli,112,SC,Budaun,Kushagra Sagar,Bharatiya Janta Party,387653,226653,58.5 %,10688,4.7%
Sahaswan,113,GEN,Budaun,Omkar Singh,Samajwadi Party,398626,237898,59.7 %,4269,1.8%
