#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
268,Uravakonda,268,GEN,Anantapur,Payyavula Keshav,Telugu Desam,187323,142941,76.3 %,229,0.2%
269,Guntakal,269,GEN,Anantapur,Madhusudan,Indian National Congress,217807,139772,64.2 %,9344,6.7%
270,Tadpatri,270,GEN,Anantapur,Divakar Reddy J.C.,Indian National Congress,202829,150252,74.1 %,6955,4.6%
271,Singanamala,271,SC,Anantapur,Dr.Sake Sailajanath,Indian National Congress,197716,149559,75.6 %,3176,2.1%
272,Anantapur Urban,272,GEN,Anantapur,B. Gurunatha Reddy,Indian National Congress,229876,116023,50.5 %,13242,11.4%
273,Kalyandurg,273,GEN,Anantapur,Neelakantapuram Raghuveera Reddy,Indian National Congress,177742,146392,82.4 %,4388,3.0%
274,Raptadu,274,GEN,Anantapur,Paritala Suneethamma,Telugu Desam,184518,142531,77.2 %,1707,1.2%
275,Madakasira,275,SC,Anantapur,K. Sudhakar,Indian National Congress,175054,147910,84.5 %,10415,7.0%
276,Hindupur,276,GEN,Anantapur,P. Abdul Ghani,Telugu Desam,206337,143787,69.7 %,8764,6.1%
277,Penukonda,277,GEN,Anantapur,B. K. Partha Sarathi,Telugu Desam,202468,152790,75.5 %,14385,9.4%
278,Puttaparthi,278,GEN,Anantapur,Palle Raghunatha Reddy,Telugu Desam,178612,137343,76.9 %,1021,0.7%
279,Dharmavaram,279,GEN,Anantapur,Kethireddy Venkata Rami Reddy,Indian National Congress,197833,149006,75.3 %,19172,12.9%
280,Kadiri,280,GEN,Anantapur,Kandikunta Venkata Prasad,Telugu Desam,232788,154944,66.6 %,14977,9.7%
281,Thamballapalle,281,GEN,Chittoor,Anipireddi Venkata Praveen Kumar Reddy,Telugu Desam,174899,145963,83.5 %,2958,2.0%
282,Pileru,282,GEN,Chittoor,Nallari Kiran Kumar Reddy,Indian National Congress,190578,151098,79.3 %,9132,6.0%
283,Madanapalle,283,GEN,Chittoor,M. Shajahan Basha (Jaha),Indian National Congress,220521,137886,62.5 %,10872,7.9%
284,Punganur,284,GEN,Chittoor,Peddireddy Rama Chandra Reddy,Indian National Congress,195258,163312,83.6 %,40727,24.9%
285,Chandragiri,285,GEN,Chittoor,Aruna Kumari Galla,Indian National Congress,219118,171323,78.2 %,10980,6.4%
286,Tirupati,286,GEN,Chittoor,Konidala Chiranjeevi,Praja Rajyam Party,247160,128128,51.8 %,15930,12.4%
287,Srikalahasti,287,GEN,Chittoor,Gopala Krishna Reddy Bojjala,Telugu Desam,213270,163174,76.5 %,12463,7.6%
288,Satyavedu,288,SC,Chittoor,H. Hemalatha,Telugu Desam,177870,142524,80.1 %,9691,6.8%
289,Nagari,289,GEN,Chittoor,Gali Muddukrishnama Naidu,Telugu Desam,168421,140604,83.5 %,1308,0.9%
290,Gangadhara Nellore,290,SC,Chittoor,Kuthuhalam Gummadi,Indian National Congress,163206,136503,83.6 %,10826,7.9%
291,Chittoor,291,GEN,Chittoor,C. K. Jayachandra Reddy @ C. K. Babu,Indian National Congress,179155,127008,70.9 %,1710,1.3%
292,Puthalapattu,292,SC,Chittoor,Dr. P. Ravi,Indian National Congress,180230,151872,84.3 %,951,0.6%
293,Palamaner,293,GEN,Chittoor,Amaranatha Reddy.N,Telugu Desam,205794,173178,84.2 %,15548,9.0%
294,Kuppam,294,GEN,Chittoor,Nara Chandrababu Naidu,Telugu Desam,175997,145290,82.6 %,46066,31.7%
