AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Moradabad West,32,GEN,Samar Pal,Janata Dal,238865,134241,56.2 %,2058,1.5%
Moradabad,33,GEN,Sandeep Aggarwal,Bharatiya Janta Party,218386,143755,65.8 %,14198,9.9%
Moradabad Rural,34,GEN,Suresh Pratap Singh,Bharatiya Janta Party,212819,148589,69.8 %,12733,8.6%
Thakurdwara,35,GEN,Sarvesh Kumar Alias Rakesh,Bharatiya Janta Party,209027,156483,74.9 %,12895,8.2%
Suartanda,36,GEN,Shiv Bahadur Saxena,Bharatiya Janta Party,244750,165982,67.8 %,12705,7.7%
Rampur,37,GEN,M. Azam Khan,Samajwadi Party,215409,134836,62.6 %,600,0.4%
Bilaspur,38,GEN,Harendra Singh,Samajwadi Party,248918,162432,65.3 %,11497,7.1%
Shahabad,39,SC,Swami Parma Nand Dandi,Bharatiya Janta Party,219109,139364,63.6 %,4208,3.0%
Bisauli,40,GEN,Daya Sindhu Shankhdar,Bharatiya Janta Party,196134,125002,63.7 %,4384,3.5%
Gunnaur,41,GEN,Rajesh Kumar,Samajwadi Party,200893,109101,54.3 %,3817,3.5%
Sahaswan,42,GEN,Mir Mazhar Ali Urf Nanhe Mian,Samajwadi Party,201499,120698,59.9 %,13212,10.9%
Bilsi,43,SC,Yogender Kumar Sagar,Bharatiya Janta Party,184535,110996,60.1 %,4063,3.7%
Budaun,44,GEN,Jugender Singh,Samajwadi Party,213383,124995,58.6 %,728,0.6%
Usehat,45,GEN,Banwari Singh,Samajwadi Party,195331,121830,62.4 %,14886,12.2%
Binawar,46,GEN,Ram Sewak Singh,Bharatiya Janta Party,193279,123369,63.8 %,7808,6.3%
Dataganj,47,GEN,Avinash Kumar Singh,Bharatiya Janta Party,175099,103497,59.1 %,95,0.1%
Aonla,48,GEN,Mahi Pal Singh Yadav,Samajwadi Party,191387,115644,60.4 %,6601,5.7%
Sunha,49,GEN,Kunwar Serva Raj Ringh,Samajwadi Party,178581,106708,59.8 %,15272,14.3%
Faridpur,50,SC,Siya Ram Sagar,Samajwadi Party,183309,101230,55.2 %,18597,18.4%
Bareilly Cantonment,51,GEN,Praveen Singh Aren,Samajwadi Party,207170,126421,61.0 %,16096,12.7%
Bareilly City,52,GEN,Rajesh Agarwal,Bharatiya Janta Party,190482,104723,55.0 %,25999,24.8%
Nawabganj,53,GEN,Bhagwat Saran Gangwar,Bharatiya Janta Party,187282,116643,62.3 %,3601,3.1%
Bhojipura,54,GEN,Harish Kumar Gangwar,Samajwadi Party,194281,115102,59.2 %,4330,3.8%
Kawar,55,GEN,Sharafat Yar Khan,Samajwadi Party,177704,114076,64.2 %,2619,2.3%
Baheri,56,GEN,Manzoor Ahmad,Samajwadi Party,212140,141896,66.9 %,468,0.3%
Pilibhit,57,GEN,B. K. Gupta,Bharatiya Janta Party,192902,124605,64.6 %,17871,14.3%
Barkhera,58,SC,Kishan Lal,Bharatiya Janta Party,184753,92145,49.9 %,8669,9.4%
Bisalpur,59,GEN,Ram Saran Varma,Bharatiya Janta Party,191722,122467,63.9 %,5537,4.5%
Puranpur,60,GEN,Virendra Mohan Singh,Janata Dal,219003,142117,64.9 %,20705,14.6%
Powayan,61,SC,Chet Ram,Indian National Congress,234041,117254,50.1 %,2628,2.2%
Nigohi,62,GEN,Puttu Singh Yadav,Samajwadi Party,190713,113364,59.4 %,5756,5.1%
Tilhar,63,GEN,Virendra Pratap Singh Alias Munna,Indian National Congress,199984,101936,51.0 %,6695,6.6%
Jalalabad,64,GEN,Ram Murti Singh,Samajwadi Party,209030,132107,63.2 %,11835,9.0%
Dadraul,65,GEN,Ram Autar,Indian National Congress,195743,110036,56.2 %,18896,17.2%
Shahjahanpur,66,GEN,Suresh Kumar Khanna,Bharatiya Janta Party,220140,125462,57.0 %,16868,13.4%
Mohamdi,67,SC,Jagan Nath Prasad,Bharatiya Janta Party,228160,119319,52.3 %,1191,1.0%
Haiderabad,68,GEN,Ram Kumar Verma,Bharatiya Janta Party,213843,119346,55.8 %,1438,1.2%
Paila,69,SC,Shashi Bala Bharti,Bharatiya Janta Party,198531,94400,47.5 %,3905,4.1%
Lakhimpur,70,GEN,Ram Gopal,Bharatiya Janta Party,212223,124693,58.8 %,225,0.2%
Srinagar,71,GEN,Kr. Dhirendra Bahadur Singh,Samajwadi Party,204389,117686,57.6 %,14508,12.3%
Nighasan,72,GEN,Nirvendra Kumar Munna,Samajwadi Party,248349,144057,58.0 %,748,0.5%
Dhaurehara,73,GEN,Yeshpal Chaudary,Samajwadi Party,231425,125423,54.2 %,2314,1.8%
Behta,74,GEN,Mukhtar Anis,Janata Dal,211471,131440,62.2 %,12756,9.7%
Biswan,75,GEN,Sunder Pal Singh,Samajwadi Party,208693,126278,60.5 %,9554,7.6%
Mahmoodabad,76,GEN,Narender Singh,Bharatiya Janta Party,223738,154841,69.2 %,1673,1.1%
Sidhauli,77,SC,Shyam Lal Rawat,Samajwadi Party,217566,123192,56.6 %,20756,16.8%
Laharpur,78,GEN,Anil Kumar,Samajwadi Party,207303,121679,58.7 %,7763,6.4%
Sitapur,79,GEN,Rajendra Kumar Gupta,Bharatiya Janta Party,195913,113906,58.1 %,2375,2.1%
Hargaon,80,SC,Daulat Ram,Bharatiya Janta Party,191660,110619,57.7 %,613,0.6%
Misrikh,81,GEN,Om Prakash Gupta,Samajwadi Party,204090,120964,59.3 %,28187,23.3%
Machhrehta,82,SC,Balgovind Rajvanshi,Bahujan Samaj Party,187002,107300,57.4 %,3400,3.2%
Beniganj,83,SC,Sushila Saroj,Samajwadi Party,182940,105954,57.9 %,8926,8.4%
Sandila,84,GEN,Kunwar Mahavir Singh,Bharatiya Janta Party,194802,123713,63.5 %,3306,2.7%
Ahirori,85,SC,Jadu Rani,Samajwadi Party,185842,90617,48.8 %,11467,12.7%
Hardoi,86,GEN,Naresh Agrawal,Indian National Congress,199318,106010,53.2 %,13297,12.5%
Bawan,87,SC,Chhotey Lal S/o Narain,Bahujan Samaj Party,188278,95422,50.7 %,11024,11.6%
Pihani,88,GEN,Ashok Bajpai,Samajwadi Party,193766,111904,57.8 %,13029,11.6%
Bilgram,90,GEN,Vishram Singh,Samajwadi Party,219728,125717,57.2 %,12219,9.7%
Mallawan,91,GEN,Ram Asray Verma,Janata Dal,212462,124938,58.8 %,2022,1.6%
Bangarmau,92,GEN,Ashok Kumar Singh Bebi,Samajwadi Party,203399,124169,61.0 %,11772,9.5%
Safipur,93,SC,Babu Lal,Bharatiya Janta Party,201858,120113,59.5 %,4026,3.4%
Unnao,94,GEN,Manohar Lal,Samajwadi Party,235528,132858,56.4 %,4862,3.7%
Hadha,95,GEN,Sunder Lal Lodhi,Bharatiya Janta Party,193470,119773,61.9 %,11302,9.4%
Bhagwant Nagar,96,GEN,Devaki Nandan,Bharatiya Janta Party,218245,116790,53.5 %,14554,12.5%
Purwa,97,GEN,Hriday Narayan,Samajwadi Party,205850,116272,56.5 %,6310,5.4%
Hasanganj,98,SC,Ram Khelawan,Bahujan Samaj Party,195803,116682,59.6 %,2286,2.0%
Malihabad,99,SC,Gauri Shankar,Samajwadi Party,192073,125996,65.6 %,6418,5.1%
Mohana,100,GEN,Rajendra Prasad,Samajwadi Party,280559,155974,55.6 %,7968,5.1%
Lucknow East,101,GEN,Bhagwati Prasad Shukla,Bharatiya Janta Party,168133,90911,54.1 %,20679,22.7%
Lucknow West,102,GEN,Ram Kumar Shukla,Bharatiya Janta Party,246350,126478,51.3 %,10366,8.2%
Lucknow Central,103,GEN,Ram Prakash,Bharatiya Janta Party,225072,119874,53.3 %,22118,18.5%
