AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Warangal East,106,GEN,Warangal,Konda Surekha,Indian National Congress,508801,169709,33.4 %,15652,9.2%
Waradhanapet,107,SC,Warangal,K.R.Nagaraj.K,Indian National Congress,538711,215164,39.9 %,19458,9.0%
Bhupalpalle,108,GEN,Warangal,Gandra Satyanarayana Rao,Indian National Congress,547602,224858,41.1 %,52699,23.4%
Mulug,109,ST,Warangal,Danasari Anasuya Seethakka,Indian National Congress,453113,185646,41.0 %,33700,18.2%
Pinapaka,110,ST,Khammam,Payam Venkateswarlu,Indian National Congress,397205,158978,40.0 %,34506,21.7%
Yellandu,111,ST,Khammam,Koram Kanakaiah,Indian National Congress,439674,176921,40.2 %,57309,32.4%
Khammam,112,GEN,Khammam,Tummala Nageswara Rao,Indian National Congress,646123,234299,36.3 %,49381,21.1%
Palair,113,GEN,Khammam,Ponguleti Srinivasa Reddy,Indian National Congress,472898,216331,45.7 %,56650,26.2%
Madhira,114,SC,Khammam,Bhatti Vikramarka Mallu,Indian National Congress,442964,194911,44.0 %,35452,18.2%
Wyra,115,ST,Khammam,Ramdas Maloth,Indian National Congress,386526,168177,43.5 %,33045,19.6%
Sathupalle,116,SC,Khammam,Matta Ragamayee,Indian National Congress,486447,214714,44.1 %,19440,9.1%
Kothagudem,117,GEN,Khammam,Kunamneni Sambasiva Rao,Communist Party Of India,487985,186493,38.2 %,26547,14.2%
Aswaraopeta,118,ST,Khammam,Adinarayana. Jare,Indian National Congress,312016,134861,43.2 %,28905,21.4%
Bhadrachalam,119,ST,Khammam,Dr. Tellam Venkata Rao,Bharat Rashtra Samithi,297420,116457,39.2 %,5719,4.9%
