#,AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
165,Majura,165,GEN,Surat,Sanghvi Harsh Rameshkumar,Bharatiya Janta Party,214887,140715,65.5 %,71556,50.9%
166,Katargam,166,GEN,Surat,Vanani Nanubhai Bhagavanbhai,Bharatiya Janta Party,235575,165854,70.4 %,43272,26.1%
167,Surat West,167,GEN,Surat,Kishorbhai Ratilalvankawala,Bharatiya Janta Party,193385,133337,68.9 %,69731,52.3%
168,Choryasi,168,GEN,Surat,Patel Rajendrabhai Parabhubhai (RAJABHAI),Bharatiya Janta Party,302271,191338,63.3 %,67638,35.4%
169,Bardoli,169,SC,Surat,Parmar Ishwarbhai Alias Anilbhai Ramanbhai,Bharatiya Janta Party,200265,149274,74.5 %,22272,14.9%
170,Mahuva,170,ST,Surat,Dhodiya Mohanbhai Dhanjibhai,Bharatiya Janta Party,202456,155482,76.8 %,11687,7.5%
171,Vyara,171,ST,Surat,Punabhai Dhedabhai Gamit,Indian National Congress,190814,149542,78.4 %,13556,9.1%
172,Nizar,172,ST,Surat,Gamit Kantilalbhai Reshmabhai,Bharatiya Janta Party,229603,192618,83.9 %,9924,5.2%
173,Dangs,173,ST,The Dangs,Gavit Mangalbhai Gangajibhai,Indian National Congress,144838,100702,69.5 %,2422,2.4%
174,Jalalpore,174,GEN,Navsari,R.C.Patel,Bharatiya Janta Party,195360,143952,73.7 %,17867,12.4%
175,Navsari,175,GEN,Navsari,Desai Piyushbhai Dinkarbhai,Bharatiya Janta Party,208049,156345,75.1 %,15981,10.2%
176,Gandevi,176,ST,Navsari,Patel Mangubhai Chhaganbhai,Bharatiya Janta Party,250996,190977,76.1 %,26177,13.7%
177,Vansda,177,ST,Navsari,Chaudhari Chhanabhai Kolubhai,Indian National Congress,250320,203909,81.5 %,25616,12.6%
178,Dharampur,178,ST,Valsad,Patel Ishwarbhai Dhedabhai,Indian National Congress,204298,162311,79.4 %,15298,9.4%
179,Valsad,179,GEN,Valsad,Bharatbhai Kikubhai Patel,Bharatiya Janta Party,218632,157025,71.8 %,35999,22.9%
180,Pardi,180,GEN,Valsad,Kanubhai Mohanlal Desai,Bharatiya Janta Party,196698,140475,71.4 %,37311,26.6%
181,Kaprada,181,ST,Valsad,Chaudhari Jitubhai Harajibhai,Indian National Congress,206025,173183,84.1 %,18685,10.8%
182,Umbergaon,182,ST,Valsad,Ramanlal Nanubhai Patkar,Bharatiya Janta Party,213352,142846,67.0 %,28299,19.8%
