AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Surat North,160,GEN,Surat,Kantibhai Himmatbhai Balar,Bharatiya Janta Party,163175,95810,58.70%,34293,35.80%,HIMMATBHAI NARSHIBHAI BALAR,male,67
Varachha Road,161,GEN,Surat,Kishor Kanani (KUMAR),Bharatiya Janta Party,215919,121030,56.10%,16834,13.90%,SHIVABHAI KANANI,male,59
Karanj,162,GEN,Surat,Pravinbhai Manjibhai Ghoghari,Bharatiya Janta Party,176578,88633,50.20%,35974,40.60%,MANJIBHAI BHAGVANBHAI GHOGHRI,male,55
Limbayat,163,GEN,Surat,Sangitaben Rajendra Patil,Bharatiya Janta Party,305284,177988,58.30%,58009,32.60%,Rajendra Patil,female,46
Udhna,164,GEN,Surat,Manubhai M. Patel (FOGWA),Bharatiya Janta Party,270669,147011,54.30%,69896,47.50%,M. PATEL,male,60
Majura,165,GEN,Surat,Harsh Ramesh Sanghvi,Bharatiya Janta Party,278958,160346,57.50%,116675,72.80%,RAMESH,male,37
Katargam,166,GEN,Surat,Vinodbhai Amarshibhai Moradiya,Bharatiya Janta Party,322237,205340,63.70%,64627,31.50%,AMARSHIBHAI HARJIVANBHAI MORADIYA,male,55
Surat West,167,GEN,Surat,Purnesh Modi,Bharatiya Janta Party,256860,159957,62.30%,104312,65.20%,Ishwarlal,male,57
Choryasi,168,GEN,Surat,Sandip Desai,Bharatiya Janta Party,566484,318616,56.20%,186418,58.50%,JAYANTILAL DESAI,male,50
Bardoli,169,SC,Surat,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,Bharatiya Janta Party,270038,174983,64.80%,89948,51.40%,RAMANBHAI PARMAR,male,51
Mahuva,170,ST,Surat,Mohanbhai Dhanjibhai Dhodiya,Bharatiya Janta Party,228911,166849,72.90%,31508,18.90%,Dhanjibhai Dhodiya,male,65
Vyara,171,ST,Surat,Kokani Mohanbhai Dhedabhai,Bharatiya Janta Party,223087,167445,75.10%,22120,13.20%,Kokani Dhedabhai Kasubhai,male,49
Nizar,172,ST,Surat,Dr.Jayrambhai Chemabhai Gamit,Bharatiya Janta Party,282604,218090,77.20%,23160,10.60%,CHEMABHAI GAMIT,male,47
Dangs,173,ST,The Dangs,Vijaybhai Rameshbhai Patel,Bharatiya Janta Party,193326,129632,67.10%,19674,15.20%,RAMESHBHAI DANGYABHAI PATEL,male,48
Jalalpore,174,GEN,Navsari,R.C.Patel,Bharatiya Janta Party,236192,155426,65.80%,68699,44.20%,Patel Chhotubhai Sukhaabhai,male,63
Navsari,175,GEN,Navsari,Desai Rakesh Gunvantbhai,Bharatiya Janta Party,250047,162240,64.90%,72313,44.60%,Gunvantbhai Desai,male,55
Gandevi,176,ST,Navsari,Nareshbhai Maganbhai Patel,Bharatiya Janta Party,292657,206884,70.70%,93166,45.00%,,,
Vansda,177,ST,Navsari,Anantkumar Hasmukhbhai Patel,Indian National Congress,299622,232964,77.80%,35033,15.00%,HASMUKHBHAI,male,45
Dharampur,178,ST,Valsad,Arvind Chhotubhai Patel,Bharatiya Janta Party,251084,193613,77.10%,33327,17.20%,Chhotubhai Zinabhai Patel,male,55
Valsad,179,GEN,Valsad,Bharatbhai Kikubhai Patel,Bharatiya Janta Party,264442,173233,65.50%,103776,59.90%,KIKUBHAI PATEL,male,64
Pardi,180,GEN,Valsad,Kanubhai Mohanlal Desai,Bharatiya Janta Party,260629,163776,62.80%,97164,59.30%,MOHANLAL DESAI,male,71
Kaprada,181,ST,Valsad,Jitubhai Harjibhai Chaudhari,Bharatiya Janta Party,266803,209370,78.50%,32968,15.70%,Harjibhai Chaudhari,male,58
Umbergaon,182,ST,Valsad,Patkar Ramanlal Nanubhai,Bharatiya Janta Party,286019,170466,59.60%,64786,38.00%,NANUBHAI PATKAR,male,71
