ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Shivpuri,25,GEN,Shivpuri,Devendra Kumar Jain 'patte Wale',Bharatiya Janta Party,517182,196563,38.00%,43030,21.90%,VACHANLAL,male,70.0,MP2023AC25
Pichhore,26,GEN,Shivpuri,Preetam Lodhi,Bharatiya Janta Party,536654,228813,42.60%,21882,9.60%,HEERA LAL,male,64.0,MP2023AC26
Kolaras,27,GEN,Shivpuri,Mahendra Ramsingh Yadav Khatora,Bharatiya Janta Party,505528,198264,39.20%,50973,25.70%,LATE-RAM SINGH YADAV,male,53.0,MP2023AC27
Bamori,28,GEN,Guna,Rishi Agrawal,Indian National Congress,450168,180980,40.20%,14796,8.20%,KANHAIYALAL AGRAWAL,male,42.0,MP2023AC28
Guna,29,SC,Guna,Panna Lal Shakya,Bharatiya Janta Party,470432,170666,36.30%,66454,38.90%,CHOTE LAL SHAKYA,male,73.0,MP2023AC29
Chachoura,30,GEN,Guna,Priyanka Penchi,Bharatiya Janta Party,473450,192998,40.80%,61570,31.90%,PRADUMAN MEENA,female,32.0,MP2023AC30
Raghogarh,31,GEN,Guna,Jaivardhan Singh,Indian National Congress,472540,194955,41.30%,4505,2.30%,DIGVIJAY SINGH,male,37.0,MP2023AC31
Ashok Nagar,32,SC,Ashoknagar,Haribaboo Rai,Indian National Congress,437074,171405,39.20%,8373,4.90%,BHAGWAN DAS RAI,male,63.0,MP2023AC32
Chanderi,33,GEN,Ashoknagar,Jagannath Singh Raghuwanshi,Bharatiya Janta Party,396304,157567,39.80%,21768,13.80%,NATHAN SINGH RAGHUWANSHI,male,75.0,MP2023AC33
Mungaoli,34,GEN,Ashoknagar,Brajendra Singh Yadav,Bharatiya Janta Party,428960,170008,39.60%,5422,3.20%,GAJRAM SINGH,male,53.0,MP2023AC34
Bina,35,SC,Sagar,Adv. Nirmla Sapre,Indian National Congress,381296,142440,37.40%,6155,4.30%,Rajesh Kumar,female,46.0,MP2023AC35
Khurai,36,GEN,Sagar,Bhoopendra Singh,Bharatiya Janta Party,427587,169773,39.70%,47325,27.90%,AMOL SINGH,male,63.0,MP2023AC36
Surkhi,37,GEN,Sagar,Govind Singh Rajput,Bharatiya Janta Party,448776,170377,38.00%,2178,1.30%,VEER SINGH,male,62.0,MP2023AC37
Deori,38,GEN,Sagar,"Brijbihari Pateriya""gudda Bhaiya""",Bharatiya Janta Party,432994,170425,39.40%,27223,16.00%,SHANKARLAL,male,62.0,MP2023AC38
Rehli,39,GEN,Sagar,Gopal Bhargava,Bharatiya Janta Party,487100,193485,39.70%,72800,37.60%,LATE SHANKAR LAL BHARGAVA,male,70.0,MP2023AC39
