ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Fazilnagar,332,GEN,Kushinagar,Surendra Kumar Kushwaha,Bharatiya Janta Party,400920,223325,55.70%,45014,20.20%,Ganga Prasad Singh,male,52.0,UP2022AC332
Kushinagar,333,GEN,Kushinagar,Panchanand Pathak (P.N. Pathak),Bharatiya Janta Party,375274,219458,58.50%,34790,15.90%,Lal Babu Pathak,male,50.0,UP2022AC333
Hata,334,GEN,Kushinagar,Mohan,Bharatiya Janta Party,374126,215405,57.60%,59365,27.60%,,,,UP2022AC334
Ramkola,335,SC,Kushinagar,Vinay Prakash Gond,Bharatiya Janta Party,372827,212120,56.90%,72543,34.20%,GAYA,male,49.0,UP2022AC335
Rudrapur,336,GEN,Deoria,Jai Prakash Nishad,Bharatiya Janta Party,322452,180234,55.90%,41936,23.30%,SATYADEV,male,64.0,UP2022AC336
Deoria,337,GEN,Deoria,Shalabh Mani Tripathi,Bharatiya Janta Party,354529,198067,55.90%,40655,20.50%,SAKAL NATH,male,45.0,UP2022AC337
Pathardeva,338,GEN,Deoria,Surya Pratap Shahi,Bharatiya Janta Party,339320,200229,59.00%,28681,14.30%,RAJENDRA KISHOR,male,68.0,UP2022AC338
Rampur Karkhana,339,GEN,Deoria,Surendra Chaurasia,Bharatiya Janta Party,357984,205479,57.40%,14670,7.10%,SUBASH,male,39.0,UP2022AC339
Bhatpar Rani,340,GEN,Deoria,Sabhakunwar,Bharatiya Janta Party,337470,192693,57.10%,18082,9.40%,RAM KISHUN,male,67.0,UP2022AC340
Salempur,341,SC,Deoria,Bijaylaxmi Gautam,Bharatiya Janta Party,344774,175977,51.00%,16608,9.40%,HARINANDAN,female,59.0,UP2022AC341
Barhaj,342,GEN,Deoria,Deepak Kumar Mishr,Bharatiya Janta Party,319371,183261,57.40%,16861,9.20%,DURGA PRASAD,male,52.0,UP2022AC342
Atrauliya,343,GEN,Azamgarh,Dr. Sangram,Samajwadi Party,389004,229939,59.10%,17247,7.50%,BALRAM,male,51.0,UP2022AC343
