AC Name,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll %,Margin,Margin %,Father/Husband Name,Gender,Age
Bhabanipatana,SC,Kalahandi district,Sagar Charan Das,Indian National Congress,,"67,085",37.39,,,Bhakta Charan Das,male,33.0
Narla,,Kalahandi district,Manorama Mohanty,Biju Janata Dal,,"67,532",36.47,,,DURGA PRASAD MOHANTY,female,44.0
Baliguda,ST,Kandhamal district,Chakramani Kanhar,Biju Janata Dal,,"43,586",35.88,,,DHANI KANHAR,male,44.0
Ghumusur Udayagiri,ST,Kandhamal district,Prafulla Chandra Pradhan,Indian National Congress,,"53,530",37.06,,,LATE BANIPHAS PRADHAN,male,68.0
Phulbani,ST,Kandhamal district,Uma Charan Mallick,	Bharatiya Janata Party,,"53,900",36.81,,,BAMAN MALLICK,male,61.0
Kantamal,,Boudh district,Kanhai Charan Danga,	Bharatiya Janata Party,,"68,356",48.28,,,KHEDU DANGA,male,70.0
Boudh,,Boudh district,Saroj Kumar Pradhan,	Bharatiya Janata Party,,"62,494",46.36,,,LATE DUKHISHYAM PRADHAN,male,51.0
Baramba,,Cuttack district,Bijaya Kumar Dalabehera,Ind,,"86,018",46.51,,,,,
Banki,,Cuttack district,Debi Ranjan Tripathy,Biju Janata Dal,,"69,214",41.31,,,,,
Athagarh,,Cuttack district,Ranendra Pratap Swain,Biju Janata Dal,,"86,006",49.46,,,LATE UPENDRA SWAIN,male,70.0
Cuttack City,,Cuttack district,Sofia Firdous,Indian National Congress,,"53,339",37.86,,,Sheikh Mairajul Haque,female,32.0
Choudwar-Cuttack,,Cuttack district,Souvic Biswal,Biju Janata Dal,,"72,325",51.71,,,Pravat Ranjan Biswal,male,31.0
Niali,SC,Cuttack district,Chhabi Malik,	Bharatiya Janata Party,,"90,191",47.71,,,,,
Cuttack Sadar,SC,Cuttack district,Prakash Chandra Sethi,	Bharatiya Janata Party,,"79,542",48.49,,,Purna Chandra Sethi,male,38.0
Salipur,,Cuttack district,Prasanta Behera,Biju Janata Dal,,"87,701",45.75,,,DHARMANANDA BEHERA,male,46.0
Mahanga,,Cuttack district,Sarada Prasad Padhan,Ind,,"88,632",42.86,,,,,
Patkura,,Kendrapara district,Arabinda Mohapatra,Biju Janata Dal,,"90,905",49.64,,,,,
Kendrapara,SC,Kendrapara district,Ganeswar Behera,Biju Janata Dal,,"90,173",58.49,,,Late Gobinda Chandra Behera,male,64.0
Aul,,Kendrapara district,Pratap Keshari Deb,Biju Janata Dal,,"73,678",42.37,,,Sarat Kumar Deb,male,53.0
