ac name,ac no,type,district,winning candidate,party,total electors,total votes,margin,margin %,father/husband name,gender,age,UID
RAJNAGAR,37,,Madhubani,SUJEET KUMAR,Bharatiya Janata Party,,108362,42185,,HIRALAL PASWAN,male,30.0,BR2025AC37
JHANJHARPUR,38,,Madhubani,NITISH MISHRA,Bharatiya Janata Party,,107958,54849,,LATE JAGANNATH MISHRA,male,52.0,BR2025AC38
PHULPARAS,39,,Madhubani,SHEELA KUMARI,Janata Dal (United),,93677,14099,,SHAILENDRA KUMAR MANDAL,female,55.0,BR2025AC39
LAUKAHA,40,,Madhubani,SATISH KUMAR SAH,Janata Dal (United),,111761,25511,,HARI PRASAD SAH,male,60.0,BR2025AC40
NIRMALI,41,,Supaul,ANIRUDDHA PRASAD YADAV,Janata Dal (United),,118904,37310,,LATE MAHARAJI YADAV,male,76.0,BR2025AC41
PIPRA,42,,Supaul,RAMBILASH KAMAT,Janata Dal (United),,107041,37776,,LATE. SARYUG KAMAT,male,62.0,BR2025AC42
SUPAUL,43,,Supaul,BIJENDRA PRASAD YADAV,Janata Dal (United),,109085,30803,,LATE SUKHRAM YADAV,male,79.0,BR2025AC43
TRIVENIGANJ,44,,Supaul,SONAM RANI,Janata Dal (United),,105262,5683,,SIKANDAR SARDAR,female,27.0,BR2025AC44
CHHATAPUR,45,,Supaul,NIRAJ KUMAR SINGH,Bharatiya Janata Party,,122491,16178,,SRI RAMKISHOR SINGH,male,55.0,BR2025AC45
NARPATGANJ,46,,Araria,DEVANTI YADAV,Bharatiya Janata Party,,120557,25353,,LATE BHAGWAN YADAV,female,53.0,BR2025AC46
RANIGANJ,47,,Araria,AVINASH MANGLAM,Rashtriya Janata Dal,,111590,8530,,NAKSHTRA RISHIDEV,male,38.0,BR2025AC47
FORBESGANJ,48,,Araria,MANOJ BISHWAS,Indian National Congress,,120114,221,,HARILAL BISHWAS,male,38.0,BR2025AC48
ARARIA,49,,Araria,ABIDUR RAHMAN,Indian National Congress,,91529,12741,,MOIDUR RAHMAN,male,60.0,BR2025AC49
JOKIHAT,50,,Araria,MOHAMMAD MURSHID ALAM,All India Majlis-E-Ittehadul Muslimeen,,83737,28803,,LATE SALIM UDDIN,male,55.0,BR2025AC50
SIKTI,51,,Araria,VIJAY KUMAR MANDAL,Bharatiya Janata Party,,111342,19322,,NANDKESHWAR MANDAL,male,62.0,BR2025AC51
BAHADURGANJ,52,,Kishanganj,MD TAUSEEF ALAM,All India Majlis-E-Ittehadul Muslimeen,,87315,28726,,MD JAMSHED ALAM,male,45.0,BR2025AC52
THAKURGANJ,53,,Kishanganj,GOPAL KUMAR AGARWAL,Janata Dal (United),,85243,8822,,Tarachand Agarwal,male,52.0,BR2025AC53
KISHANGANJ,54,,Kishanganj,MD. QAMRUL HODA,Indian National Congress,,89669,12794,,MD SHAFI,male,62.0,BR2025AC54
KOCHADHAMAN,55,,Kishanganj,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,,81860,23021,,SHAHID ALAM,male,40.0,BR2025AC55
AMOUR,56,,Purnia,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,,100836,38928,,,,,BR2025AC56
BAISI,57,,Purnia,GHULAM SARWAR,All India Majlis-E-Ittehadul Muslimeen,,92766,27251,,NAZAAM UDDIN,male,53.0,BR2025AC57
KASBA,58,,Purnia,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),,86877,12875,,BRAJ KISHORE SINGH,male,39.0,BR2025AC58
BANMANKHI,59,,Purnia,KRISHNA KUMAR RISHI,Bharatiya Janata Party,,122494,45296,,TARNI RISHI,male,49.0,BR2025AC59
RUPAULI,60,,Purnia,KALADHAR PRASAD MANDAL,Janata Dal (United),,124826,73572,,ANANDI MANDAL,male,60.0,BR2025AC60
DHAMDAHA,61,,Purnia,LESHI SINGH,Janata Dal (United),,138750,55159,,MADHUSUDAN SINGH,female,51.0,BR2025AC61
PURNIA,62,,Purnia,VIJAY KUMAR KHEMKA,Bharatiya Janata Party,,127614,33222,,MANGALCHAND KHEMKA,male,66.0,BR2025AC62
KATIHAR,63,,Katihar,TARKISHORE PRASAD,Bharatiya Janata Party,,100255,22154,,GANGA PRASAD,male,69.0,BR2025AC63
KADWA,64,,Katihar,DULAL CHANDRA GOSWAMI,Janata Dal (United),,99274,18368,,LATE HEMANT GOSWAMI,male,57.0,BR2025AC64
BALRAMPUR,65,,Katihar,SANGITA DEVI,Lok Janshakti Party (Ram Vilas),,80459,389,,RAJESH KUMAR SAH,female,41.0,BR2025AC65
PRANPUR,66,,Katihar,NISHA SINGH,Bharatiya Janata Party,,108565,7752,,LATE BINOD KUMAR SINGH,female,46.0,BR2025AC66
MANIHARI,67,,Katihar,MANOHAR PRASAD SINGH,Indian National Congress,,114754,15168,,LATE SINGHESHWAR PRASAD SINGH,male,76.0,BR2025AC67
BARARI,68,,Katihar,BIJAY SINGH,Janata Dal (United),,107842,10984,,PRITHVI SINGH,male,53.0,BR2025AC68
KORHA,69,,Katihar,KAVITA DEVI,Bharatiya Janata Party,,123495,22257,,LATE MAHESH PASWAN,female,50.0,BR2025AC69
ALAMNAGAR,70,,Madhepura,NARENDRA NARAYAN YADAV,Janata Dal (United),,138401,55465,,LATE SIYARAM YADAV,male,74.0,BR2025AC70
BIHARIGANJ,71,,Madhepura,NIRANJAN KUMAR MEHTA,Janata Dal (United),,116622,31622,,MAHESHWAR PRASAD MEHTA,male,64.0,BR2025AC71
SINGHESHWAR,72,,Madhepura,RAMESH RISHI,Janata Dal (United),,106416,2982,,BADRI RISHI,male,55.0,BR2025AC72
MADHEPURA,73,,Madhepura,CHANDRA SHEKHAR,Rashtriya Janata Dal,,108464,7809,,ANIRUDH PRASAD YADAV,male,63.0,BR2025AC73
SONBARSHA,74,,Saharsa,RATNESH SADA,Janata Dal (United),,97833,13454,,LAKSHMI SADA,male,54.0,BR2025AC74
SAHARSA,75,,Saharsa,INDRAJEET PRASAD GUPTA,Indian Inclusive Party,,115036,2038,,LATE SARYU MISTRI,male,55.0,BR2025AC75
SIMRI BAKHTIARPUR,76,,Saharsa,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),,109699,7930,,LATE BISHNUDEO SINGH,male,58.0,BR2025AC76
MAHISHI,77,,Saharsa,GAUTAM KRISHNA,Rashtriya Janata Dal,,93752,3740,,LATE VISHNUDEV YADAV,male,40.0,BR2025AC77
KUSHESHWAR ASTHAN,78,,Darbhanga,ATIREK KUMAR,Janata Dal (United),,85685,36441,,DR. ASHOK KUMAR,male,42.0,BR2025AC78
GAURA BAURAM,79,,Darbhanga,SUJIT KUMAR,Bharatiya Janata Party,,77682,5669,,SUNIL KUMAR SINGH,male,54.0,BR2025AC79
BENIPUR,80,,Darbhanga,BINAY KUMAR CHOUDHARY,Janata Dal (United),,84207,13603,,UMA KANT CHOUDHARY,male,59.0,BR2025AC80
ALINAGAR,81,,Darbhanga,MAITHILI THAKUR,Bharatiya Janata Party,,84915,11730,,RAMESH THAKUR,female,25.0,BR2025AC81
DARBHANGA RURAL,82,,Darbhanga,RAJESH KUMAR MANDAL,Janata Dal (United),,80624,18392,,Mohan Mandal,male,44.0,BR2025AC82
DARBHANGA,83,,Darbhanga,SANJAY SARAOGI,Bharatiya Janata Party,,97453,24593,,PARMESHWAR LAL SARAOGI,male,55.0,BR2025AC83
HAYAGHAT,84,,Darbhanga,RAM CHANDRA PRASAD,Bharatiya Janata Party,,77222,11839,,Kari Sahu,male,58.0,BR2025AC84
BAHADURPUR,85,,Darbhanga,MADAN SAHNI,Janata Dal (United),,96300,12011,,LATE BINDESHWAR SAHNI,male,58.0,BR2025AC85
