#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
501,Surat,24,GEN,Gujarat,Kashiram Rana,Bharatiya Janta Party,2377198,896233,37.7 %,150563,16.8%,AC View
502,Surendranagar,2,GEN,Gujarat,Koli Patel Somabhai Gandabhai,Bharatiya Janta Party,1109656,455520,41.1 %,33944,7.5%,AC View
503,Surguja,1,ST,Chhattisgarh,Nand Kumar Sai,Bharatiya Janta Party,1387483,676480,48.8 %,103452,15.3%,AC View
504,Tamluk,30,GEN,West Bengal,Seth Lakshman Chandra,Communist Party Of India (MARXIST),1185781,1030848,86.9 %,57380,5.6%,AC View
505,Tarn Taran,3,GEN,Punjab,Dr. Rattan Singh Ajnala,Shiromani Akali Dal,1173431,717306,61.1 %,56394,7.9%,AC View
506,Tehri Garhwal,1,GEN,Uttarakhand,Manabendra Shah,Bharatiya Janta Party,1292454,561210,43.4 %,17446,3.1%,AC View
507,Tenali,14,GEN,Andhra Pradesh,Balashowry Vallabhaneni,Indian National Congress,880148,671316,76.3 %,78556,11.7%,AC View
508,Tenkasi,37,SC,Tamil Nadu,"Appadurai, M.",Communist Party Of India,1084708,709688,65.4 %,122176,17.2%,AC View
509,Tezpur,9,GEN,Assam,Moni Kumar Subba,Indian National Congress,1006389,720182,71.6 %,70445,9.8%,AC View
510,Thane,10,GEN,Maharashtra,Paranjape Prakash Vishvanath,Shiv Sena,3240342,1313006,40.5 %,22258,1.7%,AC View
511,Thanjavur,31,GEN,Tamil Nadu,Palanimanickam. S. S.,Dravida Munetra Kazhagam,1030779,706888,68.6 %,119148,16.9%,AC View
512,Tindivanam,10,GEN,Tamil Nadu,Dhanaraju. K,Pattali Makkal Katchi,1158938,727774,62.8 %,91164,12.5%,AC View
513,Tiruchendur,38,GEN,Tamil Nadu,Radhika Selvi. V,Dravida Munetra Kazhagam,1031560,628693,61.0 %,181681,28.9%,AC View
514,Tiruchengode,17,GEN,Tamil Nadu,Subbulakshmi Jagadeesan,Dravida Munetra Kazhagam,1443197,862183,59.7 %,179397,20.8%,AC View
515,Tiruchirappalli,27,SC,Tamil Nadu,Ganesan. L,Marumalarchi Dravida Munnetra Kazhagam,1192254,707830,59.4 %,216725,30.6%,AC View
516,Tirunelveli,36,GEN,Tamil Nadu,"Dhanuskodi Athithan, R.",Indian National Congress,1086290,631284,58.1 %,167075,26.5%,AC View
517,Tirupathi,20,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,1215573,848995,69.8 %,199328,23.5%,AC View
518,Tiruppattur,8,GEN,Tamil Nadu,"Venugopal, D.",Dravida Munetra Kazhagam,1213662,774387,63.8 %,180902,23.4%,AC View
519,Tonk,13,GEN,Rajasthan,Kailash Meghwal,Bharatiya Janta Party,1278411,593288,46.4 %,58512,9.9%,AC View
520,Trichur,9,SC,Kerala,C. K. Chandrappan,Communist Party Of India,990733,686108,69.3 %,45961,6.7%,AC View
521,Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),936626,619546,66.2 %,310736,50.2%,AC View
522,Tripura West,1,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),1041596,699397,67.2 %,384636,55.0%,AC View
523,Trivandrum,20,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,1112571,761488,68.4 %,54603,7.2%,AC View
524,Tumkur,8,GEN,Karnataka,S. Mallikarjunaiah,Bharatiya Janta Party,1221507,862673,70.6 %,2351,0.3%,AC View
525,Tura,2,ST,Meghalaya,Purano Agitok Sangma,All India Trinamool Congress,504312,311502,61.8 %,72763,23.4%,AC View
526,Udaipur,18,GEN,Rajasthan,Kiran Maheshwari,Bharatiya Janta Party,1363337,758166,55.6 %,74875,9.9%,AC View
527,Udhampur,5,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,1348721,607945,45.1 %,47175,7.8%,AC View
528,Udupi,18,SC,Karnataka,Manorama Madhwaraj,Bharatiya Janta Party,1138398,778545,68.4 %,29003,3.7%,AC View
529,Ujjain,27,ST,Madhya Pradesh [2000 Onwards],Dr. Satyanarayan Jatiya,Bharatiya Janta Party,1243447,719800,57.9 %,70403,9.8%,AC View
530,Uluberia,25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),1129673,849086,75.2 %,152115,17.9%,AC View
531,Unnao,18,SC,Uttar Pradesh [2000 Onwards],Brajesh Pathak,Bahujan Samaj Party,1303203,547514,42.0 %,17761,3.2%,AC View
532,Vaishali,9,GEN,Bihar [2000 Onwards],Raghubansh Prasad Singh,Rashtriya Janata Dal,1197345,748681,62.5 %,105935,14.1%,AC View
533,Vandavasi,9,GEN,Tamil Nadu,"Ramachandran Gingee, N.",Marumalarchi Dravida Munnetra Kazhagam,1128624,701659,62.2 %,151433,21.6%,AC View
534,Varanasi,48,GEN,Uttar Pradesh [2000 Onwards],Dr. Rajesh Kumar Mishra,Indian National Congress,1487696,633729,42.6 %,57436,9.1%,AC View
535,Vellore,7,GEN,Tamil Nadu,"Kader Mohideen, K. M",Dravida Munetra Kazhagam,1220454,745806,61.1 %,178610,23.9%,AC View
536,Vidisha,20,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chauhan,Bharatiya Janta Party,1313048,656181,50.0 %,260726,39.7%,AC View
537,Vijayawada,13,GEN,Andhra Pradesh,Rajagopal Lagadapati,Indian National Congress,1464657,943766,64.4 %,114587,12.1%,AC View
538,Visakhapatnam,4,GEN,Andhra Pradesh,Janardhana Reddy Nedurumalli,Indian National Congress,1515574,965735,63.7 %,130571,13.5%,AC View
539,Vishnupur,36,GEN,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),1052852,803360,76.3 %,331829,41.3%,AC View
540,Warangal,39,GEN,Andhra Pradesh,Dharavath Ravinder Naik,Telangana Rashtra Samithi,1215167,921516,75.8 %,19262,2.1%,AC View
541,Wardha,27,GEN,Maharashtra,Wagmare Suresh Ganapat,Bharatiya Janta Party,1144924,625840,54.7 %,3188,0.5%,AC View
542,Washim,20,ST,Maharashtra,Gawali (PATIL) KU. BHAVANA PUNDLIKRAO,Shiv Sena,1151886,719643,62.5 %,60898,8.5%,AC View
543,Yavatmal,28,GEN,Maharashtra,Rathod Harising Nasaru,Bharatiya Janta Party,1133605,663001,58.5 %,56804,8.6%,AC View
